ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Philippine Human Rights Information Center,Task for Detainees of the Philippines ,RiseUp for Life and Rights,Parishes,CCT-DRK Research,Barangay Holy Spirit Public Safety Office,Assailant
460,May-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
461,May-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
463,Jun-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,1.0,1,1.0,Unidentified
464,Jun-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,1.0,Unidentified
465,Jun-2017,Quezon City,QCPD,PS 04 Novaliches,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
466,Jun-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,1.0,0.0,1.0,1,1.0,Unidentified
467,Jun-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
468,Jun-2017,Quezon City,QCPD,PS 02 Masambong,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
469,Jun-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,1.0,0.0,1.0,1,1.0,Unidentified
473,Jul-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
475,Jul-2017,Quezon City,QCPD,PS 06 Batasan,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,Unidentified
476,Jul-2016,Quezon City,QCPD,PS 04 Novaliches,1,1,,,,0.0,0.0,0,0.0,Unidentified
477,Jul-2016,Quezon City,QCPD,PS 06 Batasan,1,1,,,,0.0,0.0,0,0.0,Unidentified
478,Jan-2017,Quezon City,QCPD,PS 03 Talipapa,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0,Unidentified
