ID,Date,Location,Police District,Police Station,Police,News,Commission on Human Rights,Police Reports Submitted to the House of Representatives,Task Force Detainees of the Philippines,Philippine Human Rights Information Center,RiseUp for Life and Rights,CCT-DRK Research,Parishes,Assailant
253,Sep-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,1,0.0,Police
254,Sep-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,1,0.0,Police
255,Sep-2016,Manila,MPD,PS-2 ,1,0,0.0,,0.0,,,0,0.0,Police
256,Sep-2016,Manila,MPD,PS-2 ,1,1,0.0,,0.0,,,0,0.0,Police
257,Sep-2016,Manila,MPD,PS-9 ,1,1,0.0,,0.0,,,0,0.0,Police
258,Sep-2016,Manila,MPD,PS-9 ,1,1,0.0,,0.0,,,0,0.0,Police
259,Sep-2016,Manila,MPD,PS-9 ,1,1,0.0,,0.0,,,0,0.0,Police
260,Sep-2016,Manila,MPD,PS-6 ,1,1,0.0,,0.0,,,1,0.0,Police
261,Sep-2016,Manila,MPD,PS-4 ,1,1,0.0,,0.0,,,0,0.0,Police
262,Sep-2016,Manila,MPD,PS-4 ,1,1,0.0,,0.0,,,1,0.0,Police
263,Sep-2016,Manila,MPD,PS-3 ,1,1,0.0,,0.0,,,1,0.0,Police
264,Sep-2016,Manila,MPD,PS-7 ,1,1,0.0,,0.0,,,1,0.0,Police
265,Sep-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,1,0.0,Police
266,Sep-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,1,0.0,Police
267,Sep-2016,Manila,MPD,PS-11 ,1,1,0.0,,0.0,,,0,0.0,Police
